id,labels
0,"64,10,65"
1,"17,168,3"
2,"53,3,467"
3,"0,216,257"
4,"10,220,145"
5,"8,206,0"
6,"40,145,44"
7,"21,3,126"
8,"23,49,24"
9,"3,21,190"
10,"24,23,59"
11,"54,145,10"
12,"169,274,296"
13,"456,0,271"
14,"23,38,74"
15,"23,38,71"
16,"10,64,80"
17,"3,267,111"
18,"10,64,93"
19,"10,220,242"
20,"10,60,64"
21,"23,26,89"
22,"5,3,228"
23,"40,41,160"
24,"0,23,24"
25,"40,131,159"
26,"3,21,108"
27,"10,64,93"
28,"17,3,168"
29,"13,3,14"
30,"43,23,24"
31,"3,147,148"
32,"131,40,226"
33,"23,26,89"
34,"220,10,242"
35,"3,48,21"
36,"3,5,21"
37,"10,11,109"
38,"4,3,238"
39,"40,139,155"
40,"23,26,89"
41,"3,21,22"
42,"135,138,40"
43,"0,271,291"
44,"10,11,12"
45,"40,162,163"
46,"17,3,168"
47,"10,234,60"
48,"40,128,41"
49,"10,64,322"
50,"23,38,418"
51,"3,147,148"
52,"10,220,54"
53,"3,53,147"
54,"3,111,472"
55,"21,3,127"
56,"10,90,64"
57,"23,96,31"
58,"23,26,74"
59,"3,28,190"
60,"11,205,10"
61,"64,10,448"
62,"0,271,456"
63,"3,53,99"
64,"208,0,505"
65,"3,85,13"
66,"131,40,226"
67,"10,93,170"
68,"17,168,3"
69,"53,3,287"
70,"64,10,65"
71,"10,64,448"
72,"40,41,224"
73,"126,21,41"
74,"220,10,221"
75,"0,265,340"
76,"3,34,187"
77,"313,26,0"
78,"23,24,49"
79,"220,10,221"
80,"10,64,93"
81,"17,168,3"
82,"11,10,12"
83,"306,169,296"
84,"10,24,23"
85,"23,74,38"
86,"40,131,406"
87,"40,41,42"
88,"26,89,23"
89,"3,111,53"
90,"10,54,95"
91,"10,220,221"
92,"0,257,216"
93,"4,19,3"
94,"23,31,328"
95,"40,145,139"
96,"23,24,49"
97,"40,131,395"
98,"145,40,44"
99,"23,26,89"
100,"26,231,23"
101,"23,106,105"
102,"23,49,24"
103,"3,85,86"
104,"23,26,24"
105,"8,0,308"
106,"10,60,239"
107,"49,24,23"
108,"0,216,271"
109,"8,206,0"
110,"3,5,228"
111,"169,199,281"
112,"3,4,238"
113,"3,34,263"
114,"220,10,242"
115,"169,281,199"
116,"21,0,108"
117,"8,0,10"
118,"145,40,146"
119,"3,21,187"
120,"147,3,148"
121,"0,265,287"
122,"11,10,205"
123,"40,41,42"
124,"3,53,287"
125,"3,21,187"
126,"0,229,230"
127,"23,24,38"
128,"0,271,456"
129,"0,218,265"
130,"10,54,322"
131,"170,260,169"
132,"23,74,38"
133,"21,3,40"
134,"3,66,30"
135,"44,40,145"
136,"0,271,456"
137,"145,40,44"
138,"0,265,340"
139,"131,134,171"
140,"40,395,41"
141,"3,111,112"
142,"169,199,343"
143,"3,85,158"
144,"72,10,44"
145,"10,11,109"
146,"4,3,183"
147,"8,169,405"
148,"64,10,448"
149,"160,40,315"
150,"40,135,295"
151,"23,74,38"
152,"4,19,3"
153,"0,265,266"
154,"199,169,382"
155,"26,23,231"
156,"40,131,406"
157,"44,145,45"
158,"40,128,41"
159,"0,216,304"
160,"23,8,0"
161,"23,74,38"
162,"40,241,23"
163,"3,111,267"
164,"0,271,444"
165,"128,195,40"
166,"10,90,64"
167,"10,64,93"
168,"11,109,10"
169,"40,41,324"
170,"184,185,243"
171,"3,21,126"
172,"23,26,89"
173,"4,19,3"
174,"199,169,248"
175,"26,89,23"
176,"10,64,448"
177,"23,38,74"
178,"3,21,22"
179,"26,23,89"
180,"21,3,127"
181,"105,23,318"
182,"265,0,340"
183,"3,85,86"
184,"128,195,40"
185,"23,24,49"
186,"0,271,361"
187,"135,40,236"
188,"64,10,80"
189,"169,199,356"
190,"10,169,323"
191,"169,199,259"
192,"185,231,184"
193,"162,23,163"
194,"0,169,223"
195,"169,199,281"
196,"145,10,54"
197,"3,127,21"
198,"40,131,142"
199,"0,271,456"
200,"23,24,43"
201,"23,24,43"
202,"3,53,287"
203,"4,3,19"
204,"169,199,323"
205,"169,170,199"
206,"23,43,24"
207,"23,38,74"
208,"10,24,64"
209,"10,64,448"
210,"3,53,5"
211,"8,0,235"
212,"0,271,265"
213,"3,182,111"
214,"0,23,265"
215,"10,64,43"
216,"23,32,74"
217,"23,74,38"
218,"3,21,164"
219,"160,40,315"
220,"38,23,39"
221,"0,271,456"
222,"4,3,183"
223,"169,199,281"
224,"40,160,315"
225,"3,13,204"
226,"10,64,448"
227,"10,64,93"
228,"5,3,6"
229,"168,17,3"
230,"54,10,145"
231,"3,53,265"
232,"23,26,89"
233,"0,218,3"
234,"40,145,146"
235,"40,131,134"
236,"3,53,287"
237,"199,323,169"
238,"402,145,40"
239,"24,23,43"
240,"0,313,26"
241,"0,271,456"
242,"152,184,494"
243,"131,40,406"
244,"0,271,456"
245,"40,100,159"
246,"10,234,60"
247,"169,199,356"
248,"3,17,168"
249,"128,129,40"
250,"24,11,10"
251,"220,10,242"
252,"3,147,148"
253,"3,17,168"
254,"23,105,326"
255,"23,26,89"
256,"3,21,127"
257,"3,204,13"
258,"40,129,128"
259,"24,23,45"
260,"64,10,93"
261,"4,3,19"
262,"64,10,93"
263,"3,147,148"
264,"21,3,102"
265,"3,21,108"
266,"23,309,38"
267,"23,74,303"
268,"10,64,93"
269,"40,160,423"
270,"3,21,33"
271,"40,131,406"
272,"23,10,24"
273,"23,24,25"
274,"10,54,95"
275,"64,10,448"
276,"23,32,74"
277,"3,21,190"
278,"23,74,118"
279,"40,131,406"
280,"23,38,26"
281,"10,220,221"
282,"0,265,266"
283,"21,3,127"
284,"3,85,86"
285,"4,3,238"
286,"10,64,448"
287,"0,89,413"
288,"10,64,93"
289,"26,23,89"
290,"0,313,346"
291,"43,23,24"
292,"11,109,10"
293,"0,24,23"
294,"3,21,100"
295,"40,160,149"
296,"40,41,324"
297,"135,40,189"
298,"169,199,343"
299,"3,17,168"
300,"16,15,3"
301,"3,170,21"
302,"23,38,71"
303,"3,111,284"
304,"169,170,0"
305,"0,271,291"
306,"40,23,44"
307,"26,23,89"
308,"10,64,448"
309,"40,139,140"
310,"0,271,304"
311,"3,287,53"
312,"3,21,126"
313,"23,24,49"
314,"17,168,3"
