id,labels
0,"64,10,93"
1,"17,3,168"
2,"3,53,467"
3,"0,216,257"
4,"40,10,220"
5,"206,8,0"
6,"40,145,44"
7,"3,21,126"
8,"23,49,24"
9,"3,21,190"
10,"24,23,59"
11,"145,40,54"
12,"169,296,507"
13,"456,0,271"
14,"23,38,74"
15,"23,38,91"
16,"10,64,80"
17,"3,111,267"
18,"10,64,93"
19,"10,220,242"
20,"10,60,64"
21,"23,26,89"
22,"5,3,57"
23,"40,41,160"
24,"0,249,208"
25,"40,131,159"
26,"3,21,108"
27,"10,64,93"
28,"3,17,168"
29,"13,3,14"
30,"43,23,24"
31,"3,147,148"
32,"131,40,226"
33,"23,26,89"
34,"220,10,242"
35,"3,48,21"
36,"3,5,379"
37,"10,11,109"
38,"4,3,238"
39,"40,139,155"
40,"23,26,89"
41,"3,21,22"
42,"135,138,40"
43,"0,271,291"
44,"11,10,12"
45,"40,162,163"
46,"17,3,168"
47,"10,234,322"
48,"40,128,186"
49,"10,64,322"
50,"23,38,105"
51,"3,147,148"
52,"10,220,242"
53,"3,53,147"
54,"3,111,85"
55,"21,3,127"
56,"10,64,90"
57,"23,74,31"
58,"23,118,74"
59,"28,3,190"
60,"11,205,10"
61,"64,10,448"
62,"0,271,456"
63,"3,53,21"
64,"208,0,403"
65,"3,22,5"
66,"40,131,226"
67,"169,459,10"
68,"17,3,168"
69,"3,53,287"
70,"64,10,65"
71,"64,10,448"
72,"40,41,224"
73,"126,41,40"
74,"220,10,221"
75,"0,340,365"
76,"3,34,447"
77,"313,0,346"
78,"23,24,49"
79,"220,10,221"
80,"64,10,93"
81,"17,3,168"
82,"11,10,109"
83,"296,306,169"
84,"23,10,24"
85,"23,74,63"
86,"40,131,406"
87,"40,41,42"
88,"26,89,23"
89,"3,111,53"
90,"10,64,54"
91,"220,10,221"
92,"0,257,216"
93,"4,3,238"
94,"23,31,96"
95,"40,145,139"
96,"23,24,49"
97,"40,131,241"
98,"40,145,402"
99,"23,26,89"
100,"26,23,231"
101,"23,106,105"
102,"23,49,96"
103,"3,85,156"
104,"23,26,59"
105,"8,0,308"
106,"10,60,239"
107,"23,24,49"
108,"0,216,271"
109,"8,206,0"
110,"3,5,228"
111,"199,169,281"
112,"3,4,238"
113,"3,34,263"
114,"220,10,242"
115,"169,199,281"
116,"485,313,21"
117,"8,220,10"
118,"40,146,145"
119,"3,21,187"
120,"147,3,148"
121,"0,265,53"
122,"11,10,205"
123,"40,41,3"
124,"3,53,4"
125,"3,21,187"
126,"0,229,230"
127,"23,38,24"
128,"0,271,456"
129,"0,218,446"
130,"10,64,322"
131,"170,169,260"
132,"23,38,74"
133,"21,3,395"
134,"3,30,66"
135,"40,145,44"
136,"0,271,456"
137,"40,145,402"
138,"0,340,265"
139,"131,134,40"
140,"40,395,41"
141,"3,111,112"
142,"169,199,343"
143,"3,85,158"
144,"10,72,145"
145,"10,11,109"
146,"4,3,183"
147,"8,0,405"
148,"64,10,448"
149,"160,40,315"
150,"40,135,295"
151,"23,63,74"
152,"4,19,3"
153,"0,265,266"
154,"169,199,17"
155,"23,26,231"
156,"40,131,406"
157,"40,145,44"
158,"40,128,129"
159,"0,216,271"
160,"23,8,0"
161,"23,74,82"
162,"40,241,131"
163,"3,111,267"
164,"0,444,291"
165,"128,195,40"
166,"10,64,90"
167,"64,10,93"
168,"11,10,109"
169,"40,41,324"
170,"184,185,40"
171,"3,21,126"
172,"23,89,413"
173,"4,19,3"
174,"169,199,248"
175,"26,89,40"
176,"64,10,448"
177,"23,82,38"
178,"3,21,66"
179,"26,23,89"
180,"3,21,127"
181,"105,23,318"
182,"0,365,340"
183,"3,85,111"
184,"128,195,0"
185,"23,24,49"
186,"0,211,361"
187,"135,40,236"
188,"64,10,448"
189,"169,199,26"
190,"169,170,10"
191,"169,199,259"
192,"185,184,231"
193,"162,40,163"
194,"169,0,2"
195,"169,199,281"
196,"40,145,44"
197,"3,127,21"
198,"40,131,226"
199,"0,271,456"
200,"23,24,43"
201,"23,24,43"
202,"3,53,287"
203,"4,3,19"
204,"169,170,260"
205,"169,170,260"
206,"23,43,24"
207,"23,38,74"
208,"10,24,23"
209,"64,10,448"
210,"3,53,5"
211,"8,0,235"
212,"0,271,265"
213,"3,21,68"
214,"0,23,384"
215,"43,24,23"
216,"23,74,31"
217,"23,74,38"
218,"3,21,164"
219,"160,40,302"
220,"23,38,39"
221,"0,271,355"
222,"3,4,183"
223,"169,199,281"
224,"40,160,302"
225,"3,13,204"
226,"10,64,11"
227,"10,64,93"
228,"5,3,6"
229,"3,17,168"
230,"40,145,10"
231,"3,53,393"
232,"23,26,89"
233,"0,218,379"
234,"40,145,146"
235,"40,131,134"
236,"53,3,23"
237,"199,169,323"
238,"40,402,145"
239,"23,24,43"
240,"0,313,346"
241,"0,271,456"
242,"152,151,494"
243,"131,40,226"
244,"0,271,355"
245,"0,100,40"
246,"10,234,60"
247,"169,199,281"
248,"3,17,168"
249,"128,129,40"
250,"24,11,23"
251,"220,10,221"
252,"3,147,148"
253,"3,17,168"
254,"23,105,318"
255,"23,26,89"
256,"3,21,127"
257,"3,204,13"
258,"40,129,128"
259,"23,24,11"
260,"64,10,93"
261,"4,3,19"
262,"64,10,93"
263,"147,3,148"
264,"21,3,127"
265,"3,21,108"
266,"23,38,309"
267,"23,74,303"
268,"10,64,93"
269,"40,160,423"
270,"3,21,33"
271,"40,131,406"
272,"23,10,24"
273,"23,24,25"
274,"10,54,11"
275,"64,10,448"
276,"23,31,32"
277,"3,21,28"
278,"23,118,74"
279,"40,131,406"
280,"23,38,118"
281,"10,220,221"
282,"0,265,266"
283,"3,21,127"
284,"3,85,86"
285,"4,3,238"
286,"64,10,448"
287,"0,89,26"
288,"10,64,93"
289,"23,26,89"
290,"0,313,271"
291,"43,23,24"
292,"11,109,10"
293,"0,24,23"
294,"3,21,108"
295,"40,149,160"
296,"40,41,324"
297,"135,40,189"
298,"169,199,343"
299,"3,17,168"
300,"15,3,16"
301,"170,21,3"
302,"23,38,71"
303,"3,111,325"
304,"169,170,0"
305,"0,271,291"
306,"40,23,67"
307,"26,23,89"
308,"10,64,448"
309,"40,139,153"
310,"0,271,304"
311,"3,287,447"
312,"3,21,126"
313,"23,49,24"
314,"17,3,168"
315,"0,271,444"
316,"23,74,38"
317,"3,5,228"
318,"303,23,74"
319,"169,170,199"
320,"0,249,279"
321,"40,152,151"
322,"21,23,3"
323,"3,53,111"
324,"40,160,315"
325,"40,131,406"
326,"3,28,13"
327,"199,169,431"
328,"23,43,24"
329,"0,216,304"
330,"23,24,43"
331,"129,128,40"
332,"319,211,0"
333,"3,123,111"
334,"0,271,366"
335,"3,21,108"
336,"43,23,24"
337,"3,17,34"
338,"3,21,126"
339,"3,147,148"
340,"220,10,221"
341,"147,3,148"
342,"128,129,40"
343,"5,3,228"
344,"40,131,241"
345,"40,145,44"
346,"296,169,460"
347,"220,10,221"
348,"3,188,4"
349,"296,169,300"
350,"10,11,205"
351,"23,74,105"
352,"296,169,411"
353,"23,26,89"
354,"3,111,85"
355,"10,64,80"
356,"23,26,89"
357,"31,23,258"
358,"0,271,8"
359,"64,448,10"
360,"23,31,74"
361,"40,145,44"
362,"3,21,108"
363,"169,170,237"
364,"169,170,508"
365,"0,271,456"
366,"0,8,405"
367,"23,0,26"
368,"23,74,303"
369,"199,169,40"
370,"4,3,238"
371,"23,43,24"
372,"118,23,74"
373,"131,40,406"
374,"206,8,0"
375,"40,145,10"
376,"169,170,199"
377,"48,3,21"
378,"40,41,224"
379,"31,23,96"
380,"3,40,143"
381,"3,21,108"
382,"169,427,426"
383,"169,199,343"
384,"17,3,168"
385,"220,221,10"
386,"220,10,221"
387,"23,74,165"
388,"0,249,279"
389,"3,21,379"
390,"220,10,242"
391,"24,23,40"
392,"0,216,304"
393,"64,10,65"
394,"10,220,221"
395,"3,111,472"
396,"23,48,309"
397,"3,21,108"
398,"337,169,339"
399,"169,170,459"
400,"40,145,44"
401,"169,199,323"
402,"3,21,85"
403,"0,208,209"
404,"3,66,30"
405,"0,8,235"
406,"3,21,127"
407,"131,40,226"
408,"3,34,263"
409,"3,21,68"
410,"3,21,126"
411,"15,16,3"
412,"23,24,31"
413,"169,199,281"
414,"8,0,206"
415,"131,40,226"
416,"23,26,89"
417,"220,10,221"
418,"23,31,40"
419,"23,118,74"
420,"169,31,170"
421,"220,221,10"
422,"0,370,64"
423,"74,23,303"
424,"26,23,350"
425,"0,363,353"
426,"296,169,333"
427,"23,43,24"
428,"25,145,40"
429,"199,169,248"
430,"128,129,195"
431,"26,23,350"
432,"10,11,12"
433,"10,64,448"
434,"234,10,54"
435,"41,3,40"
436,"0,279,249"
437,"220,10,221"
438,"128,40,129"
439,"169,339,337"
440,"23,31,30"
441,"10,220,221"
442,"3,17,168"
443,"169,417,296"
444,"0,370,216"
445,"4,238,3"
446,"0,265,340"
447,"0,249,279"
448,"10,64,442"
449,"128,129,40"
450,"0,8,429"
451,"0,216,354"
452,"296,169,460"
453,"40,160,302"
454,"303,23,74"
455,"169,281,199"
456,"131,40,406"
457,"10,64,448"
458,"3,147,33"
459,"143,241,40"
460,"0,8,308"
461,"170,169,459"
462,"23,165,74"
463,"184,185,40"
464,"0,340,271"
465,"0,271,355"
466,"23,26,350"
467,"40,145,402"
468,"11,10,109"
469,"3,53,287"
470,"134,40,131"
471,"0,456,271"
472,"10,64,93"
473,"0,249,279"
474,"23,26,350"
475,"0,265,266"
476,"0,8,23"
477,"199,169,281"
478,"40,41,135"
479,"169,199,323"
480,"40,395,118"
481,"40,145,44"
482,"40,131,406"
483,"23,0,59"
