id,labels
0,"64,10,93"
1,"3,17,168"
2,"3,467,53"
3,"0,216,257"
4,"220,10,242"
5,"206,0,8"
6,"145,40,44"
7,"21,3,126"
8,"23,24,49"
9,"3,21,28"
10,"24,23,59"
11,"54,145,10"
12,"169,296,507"
13,"0,271,456"
14,"23,105,38"
15,"23,38,145"
16,"10,64,80"
17,"3,111,267"
18,"10,64,93"
19,"220,10,242"
20,"10,60,64"
21,"23,26,89"
22,"5,3,57"
23,"40,41,215"
24,"0,326,249"
25,"40,131,486"
26,"3,21,108"
27,"10,64,93"
28,"3,17,168"
29,"3,13,14"
30,"24,23,43"
31,"3,147,148"
32,"40,131,406"
33,"23,26,89"
34,"220,10,242"
35,"3,21,48"
36,"3,21,85"
37,"10,11,109"
38,"4,3,238"
39,"40,139,155"
40,"23,26,89"
41,"3,21,22"
42,"135,138,40"
43,"0,271,291"
44,"11,10,12"
45,"40,162,163"
46,"3,17,168"
47,"10,234,60"
48,"40,128,186"
49,"54,322,23"
50,"23,38,82"
51,"3,147,148"
52,"10,220,54"
53,"3,53,147"
54,"3,111,472"
55,"21,3,127"
56,"10,64,65"
57,"23,74,53"
58,"23,118,74"
59,"28,3,190"
60,"11,10,205"
61,"64,10,448"
62,"0,271,456"
63,"3,53,99"
64,"208,0,521"
65,"3,13,85"
66,"40,131,226"
67,"169,170,459"
68,"17,3,168"
69,"53,3,287"
70,"64,10,65"
71,"64,10,448"
72,"40,41,224"
73,"126,3,41"
74,"220,10,221"
75,"0,265,340"
76,"3,187,34"
77,"0,313,346"
78,"23,24,49"
79,"220,10,221"
80,"64,10,93"
81,"17,3,168"
82,"11,10,12"
83,"169,296,306"
84,"60,10,24"
85,"23,38,63"
86,"40,131,406"
87,"40,41,42"
88,"23,26,89"
89,"3,111,523"
90,"24,10,23"
91,"220,10,221"
92,"0,257,216"
93,"4,238,19"
94,"23,31,258"
95,"40,145,132"
96,"23,24,49"
97,"40,131,128"
98,"145,40,402"
99,"23,26,89"
100,"26,231,23"
101,"23,105,106"
102,"23,24,49"
103,"3,85,86"
104,"23,26,24"
105,"0,8,308"
106,"10,60,239"
107,"23,24,49"
108,"0,216,304"
109,"206,0,8"
110,"3,5,228"
111,"199,169,281"
112,"3,4,238"
113,"3,34,15"
114,"220,10,242"
115,"169,281,199"
116,"0,313,108"
117,"8,0,24"
118,"40,145,146"
119,"3,21,187"
120,"147,148,3"
121,"0,265,53"
122,"11,10,109"
123,"40,41,42"
124,"3,53,287"
125,"3,21,187"
126,"0,229,421"
127,"23,24,25"
128,"0,271,355"
129,"0,218,446"
130,"10,322,54"
131,"169,260,170"
132,"23,38,74"
133,"21,3,127"
134,"3,30,28"
135,"44,40,145"
136,"0,271,456"
137,"40,145,402"
138,"0,265,340"
139,"131,134,40"
140,"40,395,42"
141,"3,111,112"
142,"169,199,356"
143,"3,85,158"
144,"61,72,10"
145,"10,11,109"
146,"4,3,19"
147,"8,0,405"
148,"64,10,448"
149,"160,40,196"
150,"40,135,295"
151,"23,38,63"
152,"4,19,238"
153,"0,265,266"
154,"199,169,323"
155,"26,23,231"
156,"40,131,406"
157,"44,145,40"
158,"40,128,41"
159,"0,216,271"
160,"23,0,8"
161,"23,74,31"
162,"40,241,131"
163,"3,111,267"
164,"0,291,271"
165,"128,0,195"
166,"64,10,90"
167,"64,10,93"
168,"24,11,44"
169,"40,41,128"
170,"185,184,243"
171,"3,52,51"
172,"23,89,413"
173,"4,19,3"
174,"199,169,248"
175,"89,26,23"
176,"64,10,448"
177,"23,38,82"
178,"3,30,57"
179,"23,26,89"
180,"21,3,127"
181,"105,318,23"
182,"0,265,340"
183,"3,85,86"
184,"0,128,195"
185,"23,24,49"
186,"0,271,361"
187,"40,135,236"
188,"64,10,80"
189,"169,199,356"
190,"169,199,323"
191,"169,199,259"
192,"231,184,169"
193,"162,23,163"
194,"0,311,169"
195,"169,199,259"
196,"145,40,55"
197,"3,127,21"
198,"40,131,132"
199,"0,271,456"
200,"23,24,43"
201,"23,24,43"
202,"3,53,287"
203,"4,3,19"
204,"169,199,170"
205,"169,199,260"
206,"24,23,43"
207,"23,38,91"
208,"10,64,24"
209,"64,10,448"
210,"3,5,6"
211,"0,8,308"
212,"0,265,271"
213,"3,68,53"
214,"0,23,265"
215,"23,24,43"
216,"23,74,32"
217,"23,74,303"
218,"3,21,164"
219,"160,40,302"
220,"23,38,39"
221,"0,271,355"
222,"4,3,238"
223,"169,199,281"
224,"40,160,302"
225,"3,204,13"
226,"10,11,64"
227,"10,64,93"
228,"5,3,57"
229,"3,17,168"
230,"54,40,145"
231,"3,53,111"
232,"23,26,89"
233,"0,3,218"
234,"40,145,146"
235,"40,131,134"
