id,labels
0,21
1,"445,421,403"
2,"511,445,421"
3,0
4,359
5,127
6,21
7,127
8,76
9,"165,484"
10,"359,511,469"
11,387
12,387
13,387
14,21
15,"359,511,387"
16,"21,76,403"
17,"387,445"
18,"2,211"
19,"211,421,127"
20,76
21,"21,445"
22,127
23,"21,76,81"
24,"25,387"
25,76
26,"21,445"
27,21
28,127
29,"208,483,34"
30,"387,76,421"
31,"380,445,76"
32,"21,76,387"
33,211
34,127
35,127
36,"421,127"
37,359
38,143
39,"21,445"
40,76
41,127
42,434
43,"387,421,469"
44,127
45,421
46,127
47,445
48,359
49,"421,74"
50,"387,421,399"
51,21
52,445
53,"421,127"
54,76
55,164
56,"21,76"
57,"359,387,421"
58,445
59,"511,387,445"
60,387
61,"21,76"
62,127
63,"359,387"
64,365
65,421
66,"434,127"
67,"21,387,278"
68,"387,76,403"
69,"76,421,127"
70,"445,387"
71,"21,445,403"
72,"359,278,483"
73,"76,365"
74,"359,21,445"
75,"359,208,421"
76,"21,387"
77,403
78,"21,76"
79,21
80,"359,387,445"
81,"21,76,387"
82,"21,76"
83,21
84,"21,76"
85,"342,127"
86,"21,76,445"
87,127
88,"359,445,74"
89,127
90,387
91,127
92,"445,127"
93,"21,76"
94,"21,445,2"
95,"76,403,484"
96,127
97,387
98,127
99,387
100,"21,76,81"
101,"387,511,445"
102,387
103,127
104,"21,76"
105,"445,387,469"
106,359
107,"127,421"
108,"21,76"
109,76
110,127
111,211
112,359
113,387
114,"387,445,469"
115,"445,421"
116,469
117,127
118,"511,278,421"
119,"387,445"
120,"421,164"
121,"21,76,403"
122,21
123,"21,403"
124,127
125,"2,421,127"
126,"445,421"
127,"127,484"
128,"359,387,76"
129,"21,387,76"
130,387
131,"387,445"
132,"127,211,403"
133,"365,445"
134,"76,403"
135,211
136,"359,387"
137,"21,76"
138,76
139,"445,469"
140,"278,387,445"
141,"359,387,421"
142,"278,387"
143,387
144,21
145,"445,421"
146,434
147,"143,387"
148,127
149,2
150,445
151,25
152,127
153,"387,127"
154,"387,445"
155,"21,445"
156,"76,365,421"
157,"359,387,445"
158,359
159,"21,76,445"
160,"76,421"
