id,labels
0,"127,421"
1,"76,387,365"
2,365
3,"469,421,359"
4,"359,278,511"
5,"387,421,469"
6,"445,76,211"
7,"21,76,81"
8,"76,127,21"
9,"21,76,403"
10,"76,340,403"
11,"445,127"
12,"421,164,380"
13,"445,359,469"
14,"127,387,434"
15,"445,387"
16,"387,483"
17,"76,21"
18,"127,434"
19,"387,445"
20,"127,421"
21,"359,445"
22,"21,76"
23,"21,76,127"
24,"76,208"
25,"445,21,387"
26,"21,76"
27,127
28,"76,127,365"
29,"76,127,387"
30,127
31,127
32,"21,445,76"
33,525
34,"359,127,74"
35,"21,76,387"
36,"21,127"
37,"387,127"
38,81
39,"21,76"
40,"387,445,278"
41,"76,21"
42,"76,164"
43,"359,387,511"
44,"421,127,387"
45,"76,164"
46,"76,387"
47,"127,365"
48,"76,127"
49,"127,359"
50,"445,387,359"
51,"21,211,76"
52,"387,445,2"
53,"2,21,387"
54,"76,21"
55,"21,76,445"
56,387
57,"21,2"
58,"127,387"
59,"21,76"
60,"421,211,365"
61,"387,511"
62,"469,445,421"
63,"76,127"
64,"208,359,127"
65,421
66,"387,208,76"
67,"76,421,2"
68,"365,387,348"
69,"21,421"
70,"127,164"
71,"421,387,278"
72,127
73,"21,76,81"
74,"387,76,421"
75,"387,21,359"
76,"21,76,445"
77,"445,359,511"
78,"387,127"
79,"76,208,394"
80,"421,387,365"
81,"21,76,421"
82,"421,387,511"
83,"127,445"
84,"127,211"
85,"387,127"
86,"21,387,393"
87,"21,76,81"
88,445
89,"76,211,21"
90,"445,359,421"
91,"421,387,359"
92,"359,469,511"
93,76
94,"421,387,445"
95,"21,387,445"
96,"127,387"
97,"21,76,445"
98,"387,359,21"
99,"278,387,74"
100,"403,211,387"
101,"387,127,2"
102,"127,387"
103,"76,211"
104,359
105,"469,387,211"
106,"421,127,445"
107,"421,2,445"
108,"359,469,403"
109,"387,76,359"
110,"76,21"
111,"387,445,127"
112,"21,76"
113,"21,387"
114,"421,208,387"
115,127
116,"21,76"
117,"387,365,421"
118,"127,484,74"
119,"21,76"
120,"21,76"
121,"445,127,2"
122,421
123,"21,76,387"
124,"127,421,21"
125,"445,76,21"
126,"359,127,278"
127,387
128,"469,359,445"
129,"359,76,208"
130,"387,421"
131,"445,21,76"
132,"25,421"
133,"21,76,445"
134,81
135,"445,387,21"
136,"469,359,445"
137,"278,421,387"
138,"127,469,340"
139,"445,127,365"
140,"21,76,445"
141,"164,21,365"
142,"2,21,127"
143,"127,164,2"
144,"76,164"
145,"359,387,365"
146,"127,403,211"
147,"365,164,127"
148,"445,387"
149,127
150,"484,403"
151,"445,387,2"
152,"76,164"
153,"469,359,511"
154,"387,421,76"
155,387
156,"387,76,211"
157,387
158,"21,76,445"
159,"76,21"
160,"342,387,445"
161,"359,387,445"
162,"421,342,380"
163,"76,164,211"
164,"421,469,76"
165,"21,359,445"
166,"387,421,445"
167,"2,421,127"
168,"127,387,445"
169,"21,76"
170,"359,445,434"
171,"76,21"
172,"387,211,403"
173,"76,387,164"
174,"76,21,127"
175,"445,387,421"
176,"208,359,421"
177,"387,365"
178,"21,76,387"
179,"445,387,511"
180,"76,21,81"
181,"76,21"
182,"76,21,387"
183,"21,76,81"
184,"21,359,387"
185,421
186,"76,469,211"
187,"76,21,2"
188,387
189,"208,76"
190,"127,445"
191,"21,76"
192,"445,359,511"
193,"164,387,365"
194,"445,127,21"
195,"76,127,387"
196,387
197,"76,21"
198,"21,76,421"
199,"387,127,421"
200,"127,359"
201,"127,421"
202,"21,2"
203,"21,211,359"
204,"76,21,211"
205,"445,403,421"
206,127
207,"387,421"
208,"387,365,380"
209,"421,208"
210,"211,403"
211,"387,469,421"
212,"359,469,127"
213,"421,127,469"
214,"387,445,76"
215,25
216,"127,434"
217,127
218,"76,21,143"
219,"387,421,127"
220,387
221,"380,421,445"
222,"127,76"
223,"445,21,127"
224,"76,21,127"
225,"21,127"
226,"387,421,211"
227,"208,483,387"
228,"421,359"
229,"76,21,387"
230,"387,445,421"
231,"76,387,21"
232,"445,387,74"
233,21
234,"76,21,387"
235,"21,445"
236,"365,434,127"
237,"445,278,359"
238,"421,387"
239,"127,445"
240,"76,387"
241,"469,445,511"
242,"76,127"
243,"387,21,76"
244,"469,359,464"
245,"21,127,359"
246,127
247,127
248,"21,143,403"
249,"21,211"
250,"387,365,76"
251,"76,387,340"
252,"127,21,451"
253,"76,208,127"
254,"445,127"
255,"445,387"
256,"76,21"
257,"21,76,359"
258,"421,380,127"
259,"387,208"
260,"21,76,365"
261,"127,359,365"
262,"127,445,359"
263,"387,127,21"
264,"21,76,445"
265,"76,21,445"
266,"127,445"
267,127
268,127
269,"127,421"
270,"21,76"
271,"21,76,445"
272,"127,387"
273,445
274,"387,445,127"
275,"445,387,21"
276,127
277,"21,403"
278,"127,387"
279,"2,421,387"
280,"387,76,127"
281,"387,208,421"
282,"387,511,76"
283,"21,76,81"
284,"127,445"
285,"127,434,81"
286,"387,278,421"
287,"278,403,445"
288,"208,127"
289,"445,359,387"
290,"21,445,359"
291,"127,421"
292,"387,208"
293,"76,445,403"
294,"421,127"
295,"21,76,387"
296,"21,2,445"
297,"76,403,421"
298,"421,208,127"
299,"76,21,387"
300,"127,211,451"
301,"21,76,2"
302,"76,127,25"
303,"127,445"
304,"21,445,76"
305,"469,359,445"
306,"2,445,164"
307,"445,387,511"
308,"387,421,445"
309,"127,421,2"
310,469
311,"21,76,445"
312,"21,127,76"
313,"387,127,421"
314,"387,421,76"
315,"469,208"
316,"387,21,445"
317,"76,21,403"
318,"387,208,127"
319,"445,211,21"
320,"359,469,403"
321,"76,21,387"
322,"127,434,164"
323,"164,127"
324,"21,76"
325,"421,387,445"
326,"211,403,319"
327,"2,164"
328,"127,421,2"
329,"278,359,342"
330,"127,445,434"
331,"208,387,421"
332,"469,359,464"
333,"164,76"
334,"469,278,445"
335,"21,76,387"
336,"127,445"
337,"21,403,76"
338,"76,21,81"
339,21
340,"359,387,421"
341,"127,164,102"
342,"387,21"
343,"127,403"
344,"21,445,76"
345,"387,21,76"
346,"127,445"
347,"421,76,208"
348,"21,445,403"
349,"127,359,74"
350,"421,387,511"
351,"2,421"
352,"127,278"
353,387
354,"403,127"
355,"387,421,76"
356,387
357,"359,127"
358,"469,387,464"
359,"387,445,421"
360,"127,359"
361,"387,445,421"
362,"76,21"
363,"21,445,359"
364,"445,387,359"
365,"469,208"
366,"445,387,359"
367,"278,421,359"
368,"127,421,211"
369,"2,21,127"
370,"21,76,403"
371,"127,387,25"
372,"127,387"
373,"387,421,2"
374,"359,387"
375,"445,387,127"
376,"127,403,211"
377,127
378,"21,76,445"
379,"127,421,380"
380,"21,127"
381,"76,21,403"
382,"21,76,387"
383,21
384,"387,421,365"
385,"445,387,421"
386,"208,359,421"
387,"165,25,454"
388,"211,403,469"
389,21
390,"445,421,387"
391,"164,387"
392,"469,445,511"
393,"387,445,365"
394,"387,76,445"
395,"21,76,387"
396,127
397,"127,208,76"
398,"127,359"
399,"21,76,445"
400,"445,387,127"
401,"76,365"
402,"434,445"
403,469
404,"127,21"
405,"469,359,387"
406,"76,81,21"
407,"445,127,387"
408,"76,21,387"
409,"21,76,445"
410,"21,76,387"
411,"387,211,372"
412,"76,387,445"
413,127
414,"387,511"
415,"21,76,387"
416,"359,127"
417,387
418,"421,445,469"
419,"445,21,127"
420,"127,387"
421,"421,208,394"
422,"445,278"
423,"2,434,164"
424,387
425,"421,469,76"
426,"387,403,211"
427,127
428,"127,359,278"
429,"76,21"
430,"76,387,127"
431,"387,445,342"
432,"208,421"
433,"445,387"
434,127
435,"76,21,143"
436,"469,359,278"
437,"387,359,208"
438,"421,76"
439,127
440,"127,387,454"
441,"387,76,445"
442,21
443,127
444,"464,278"
445,"76,21,211"
446,"469,511,445"
447,"421,278,469"
448,"208,421,387"
449,127
450,"211,421"
451,"278,445,469"
452,127
453,"21,76"
454,"421,208,2"
455,"2,127"
456,"387,421,445"
457,"445,387,278"
458,"21,445"
459,"421,2,387"
460,"469,445,464"
461,"445,76,21"
462,"164,208,387"
463,"76,387,2"
464,"359,387,469"
465,"445,359"
466,"387,127,445"
467,"403,387"
468,387
469,"387,21,365"
470,"421,380,208"
471,211
472,"127,208,25"
473,"469,359,464"
474,"387,445,342"
475,"211,445,403"
476,"469,421,208"
477,"127,21"
478,"21,76"
479,"21,76,359"
480,"21,76"
481,"421,387"
482,"76,208,434"
483,"359,511"
484,"21,76"
485,"387,359,511"
486,"387,445"
487,"359,469,278"
488,"127,421"
489,"76,21,387"
490,"387,445"
491,"445,21"
492,127
493,"359,511,445"
494,"21,76"
495,"445,511,469"
496,"164,76,127"
497,"421,76,387"
498,"387,359,469"
499,"387,76,340"
500,"76,21"
501,"21,127"
502,"2,74,380"
503,"445,421,387"
504,"208,387,76"
505,"387,421,445"
506,"127,421"
507,"445,2,387"
508,"21,76"
509,"21,76"
510,127
511,"21,127"
512,"211,445,421"
513,"421,2"
514,"76,81,484"
515,"208,484,127"
516,"421,76,387"
517,"127,2"
518,"21,76,445"
519,"127,421"
520,"76,340,208"
521,"469,359,464"
522,"445,387,359"
523,"21,76,387"
524,"127,434"
525,"445,127,434"
526,"127,74,403"
527,"445,21,359"
528,"127,445"
529,"445,387,359"
530,"127,421,76"
531,"387,208,359"
532,"387,445"
533,"359,445,278"
534,"127,76,278"
535,"445,387,421"
536,"21,127"
537,"387,511,365"
538,"445,434,359"
539,"421,403,434"
540,"469,359,511"
541,"445,164"
542,"21,127"
543,"21,403"
544,"76,2,211"
545,"2,445,387"
546,"127,387,421"
547,"127,403"
548,127
549,"127,208,102"
550,"76,21"
551,"21,359,469"
552,"445,387,511"
553,"359,387,208"
554,"421,445,76"
555,"421,127"
556,"421,2,127"
557,"387,340"
558,387
559,"445,387,421"
560,"387,359,445"
561,"387,421,208"
562,"359,421,387"
563,"387,421,511"
564,"21,81,76"
565,"445,127,434"
566,"445,387,278"
567,"278,208,403"
568,"127,387,211"
569,"387,164,25"
570,421
571,"421,211,76"
572,"76,21"
573,"127,421"
574,"421,76,211"
575,"21,76"
576,"421,2,359"
577,127
578,"445,127,421"
579,"387,208"
580,"445,21,127"
581,"127,21"
582,"445,359,469"
583,"445,127,434"
584,"76,21,445"
585,"387,469"
586,"387,359,365"
587,"127,421,387"
588,"127,359"
589,"76,21,387"
590,"387,359,21"
591,"421,387,445"
592,"76,21"
593,"127,421"
594,"387,359,365"
595,"21,76,2"
596,"211,387,403"
597,"421,127,469"
598,"127,164,208"
599,"445,76,421"
600,"127,484,2"
601,"445,434,365"
602,"421,127"
603,"387,76,208"
604,"76,21,211"
605,"387,469,211"
606,"21,127"
607,"21,2,387"
608,"278,380,464"
609,"127,445,434"
610,"21,127,445"
611,"445,434,387"
612,"387,445,421"
613,"76,21,81"
614,"387,421,211"
615,"359,76,511"
616,"387,445,278"
617,"2,421,127"
618,"445,421,387"
619,"76,2"
620,"445,278,74"
621,"387,365"
622,"21,211"
623,21
624,"76,208,127"
625,"387,469,445"
626,"2,445,127"
627,"421,127"
628,"211,387,445"
629,"76,387"
630,"421,380,387"
631,"359,394,387"
632,"127,359"
633,127
634,"469,359,76"
635,"445,387"
636,"2,211,164"
637,"76,21,445"
638,"21,76,445"
639,"469,387,511"
640,127
641,"387,359,208"
642,"421,2,127"
643,"21,76,445"
644,"21,76,2"
645,"387,21,127"
646,"445,21"
647,"359,445,127"
648,21
649,"21,445,76"
650,387
651,"445,387"
652,387
653,"76,21,127"
654,"387,127,74"
655,"21,76,387"
656,"76,81,403"
657,"387,511,445"
658,"211,76,403"
659,"21,76,445"
660,"76,21,387"
661,"387,127"
662,"21,445,359"
663,127
664,"387,127,365"
665,"127,76,421"
666,"445,387"
667,"421,359,387"
668,445
669,"359,387,127"
670,"387,127,359"
671,"421,359,127"
672,"387,445,421"
673,"21,445,127"
674,"21,2,127"
675,"445,421,127"
676,403
677,"76,387,21"
678,127
679,"359,208,421"
680,"387,359,511"
681,"445,21,387"
682,127
683,"2,164,421"
684,"127,21"
685,"76,21"
686,"278,387,359"
687,"76,21"
688,"421,445,387"
689,"208,387,394"
690,"21,76"
691,"21,387"
692,"421,2,127"
693,127
694,"387,483,511"
695,"387,469,211"
696,"387,25,421"
697,"127,421"
698,"421,127"
699,"387,445,421"
700,"421,365,434"
701,"387,445"
702,"74,127,2"
703,"127,359,445"
704,"445,127,2"
705,"127,21"
706,"127,387"
707,"21,76,445"
708,"387,511,469"
709,"165,421,76"
710,"21,359,445"
711,127
712,"208,127"
713,"211,403,359"
714,"21,445"
715,"387,25"
716,"21,127,76"
717,"127,434,421"
718,"76,21,81"
719,421
720,"127,208,76"
721,"421,278"
722,"76,21"
723,"21,387"
724,"21,76,403"
725,"127,484"
726,"21,469,445"
727,"387,469,491"
728,"421,76,387"
729,"21,76"
730,"445,127,21"
731,"445,76"
732,"76,21,81"
733,"445,127,387"
734,"445,21"
735,"278,21,445"
736,"208,127,359"
737,"208,387"
738,"421,387,394"
739,"445,342"
740,"359,421"
741,"387,445,511"
742,"127,211"
743,"387,421"
744,"421,359"
745,21
746,"421,387,127"
747,"421,359,445"
748,"2,76,387"
749,"445,127,387"
750,21
751,"445,421,2"
752,"76,21"
753,"76,421,2"
754,"21,445,127"
755,"127,445,2"
756,387
757,"445,434,365"
758,127
759,127
760,"127,164"
761,"359,127,208"
762,"421,127"
763,"76,21,387"
764,"21,387"
765,"511,365,359"
766,"76,469,208"
767,"76,21"
768,"469,511,445"
769,"421,127"
770,"211,164,127"
771,"387,278,421"
772,"421,2,127"
773,"21,76,387"
774,"76,421,2"
775,"76,21,143"
776,"76,21,211"
777,127
778,"434,127,164"
779,"421,359,380"
780,"127,387"
781,"127,2,445"
782,"208,387,511"
783,"164,421,387"
784,"21,387"
785,"445,21"
786,"21,445,76"
787,"421,208,165"
788,"359,76,387"
789,"387,445"
790,"21,76,81"
791,"387,421,359"
792,"387,127"
793,387
794,"445,127"
795,"21,445"
796,"76,21"
797,21
798,"387,127"
799,"76,21,164"
800,"127,421"
801,"421,387"
802,"342,359"
803,"21,76,359"
804,"387,445"
805,127
806,"387,445,21"
807,"445,21,127"
808,"21,76,445"
809,"21,76,445"
810,"359,421,469"
811,"127,421,445"
812,"421,2,445"
813,"278,421,469"
814,"21,76"
815,"21,76,387"
816,"21,76,387"
817,"387,469,359"
818,"421,208,365"
819,"76,445,21"
820,"445,469,359"
821,127
822,"421,387,445"
823,"127,387"
824,"21,76"
825,"445,387,421"
826,"387,469,340"
827,387
828,"164,434,365"
829,"421,469,445"
830,403
831,"445,511,359"
832,"445,387"
833,"76,127"
834,127
835,"2,127,21"
836,"164,127,365"
837,"21,76"
838,"421,21,127"
839,"21,76,403"
840,"387,359,278"
841,127
842,"76,21,387"
843,"387,76,340"
844,"421,387,127"
845,127
846,"445,421"
847,"127,421"
848,"387,445,511"
849,"445,2"
850,"76,21"
851,387
852,"387,21,127"
853,127
854,"21,76,445"
855,"76,21,445"
856,"421,387,359"
857,"421,127,387"
858,"76,445,365"
859,"421,76,2"
860,"445,387,359"
861,"421,2,127"
862,"2,421,21"
863,"359,21,278"
864,"76,421,211"
865,"21,76"
866,127
867,"445,421,434"
868,"403,211"
869,"365,380"
870,"76,387,421"
871,164
872,"76,21"
873,"76,127,21"
874,"469,359"
875,"387,21,445"
876,"21,76"
877,445
878,"445,76,127"
879,"387,445,365"
880,"76,21,403"
881,"394,387,208"
882,"387,445"
883,"387,21,2"
884,"387,445"
885,"21,445,76"
886,"445,127,164"
887,"127,76,21"
888,"143,208"
889,"21,2,445"
890,"445,387"
891,"2,211,21"
892,"387,25,2"
893,"387,445,421"
894,387
895,"469,387,359"
896,"387,21,421"
