id,labels
0,"3,4,128"
1,"18,3,200"
2,"3,4,128"
3,"0,497,128"
4,"67,3,45"
5,"206,8,249"
6,397
7,"100,200,108"
8,"49,3"
9,"100,200"
10,"340,359,205"
11,"405,83,135"
12,"3,4,128"
13,409
14,"3,4,128"
15,"3,128,4"
16,"3,4,128"
17,"3,128,4"
18,"3,4,128"
19,"220,221"
20,"3,4,128"
21,"3,4,128"
22,3
23,"340,0"
24,"3,29,4"
25,"3,128,4"
26,"3,100,4"
27,"3,4,128"
28,"18,3,200"
29,"3,4,128"
30,"3,4,128"
31,"3,4,128"
32,"368,40,296"
33,"128,3,4"
34,"220,3,25"
35,"3,128,301"
36,"3,128,4"
37,"3,4,128"
38,"3,4,128"
39,"3,128,4"
40,"3,128,4"
41,"3,301,4"
42,"3,4,128"
43,"128,3,4"
44,"3,4,12"
45,"128,3,4"
46,"200,3,128"
47,"3,128,4"
48,"3,4,128"
49,"405,128,3"
50,"3,128,129"
51,"3,4,128"
52,"220,3,67"
53,"3,4,128"
54,"3,301,4"
55,"3,4,128"
56,455
57,"3,128,4"
58,"3,4,128"
59,"3,4,128"
60,"3,4,128"
61,"64,524,323"
62,"271,346"
63,"3,4,128"
64,"3,4,128"
65,"3,128,4"
66,"128,3,4"
67,"3,4,128"
68,"18,200,3"
69,"3,128,4"
70,"3,4,323"
71,"524,323,64"
72,"3,128,100"
73,"3,128,4"
74,"220,221,3"
75,"100,340,0"
76,"3,4,128"
77,"346,456,179"
78,"3,4,128"
79,"220,25,24"
80,"3,4,128"
81,"3,4,128"
82,"3,4,128"
83,"128,3,405"
84,"3,4,128"
85,"128,3,4"
86,"296,40,368"
87,"3,4,128"
88,"3,128,4"
89,"340,3,0"
90,"128,3,129"
91,"3,220,454"
92,"0,3,128"
93,"4,128,3"
94,"3,4,128"
95,"67,45"
96,"49,178,3"
97,"3,4,128"
98,"220,454"
99,"128,3,4"
100,"3,128,4"
101,"3,128,4"
102,"3,128,4"
103,"3,301,4"
104,"128,3,4"
105,"346,313"
106,"3,4,128"
107,"3,4,128"
108,497
109,"206,8,235"
110,"3,4,128"
111,"3,4,128"
112,"3,128,4"
113,"3,4,128"
114,"220,25,3"
115,"3,4,128"
116,"0,179,128"
117,"128,3,4"
118,"128,3,4"
119,"100,187,200"
120,"3,128,4"
121,"128,3,4"
122,"3,4,128"
123,"100,200,3"
124,"3,4,128"
125,"3,4,128"
126,"128,3,0"
127,"3,128,4"
128,"3,128,4"
129,359
130,"524,64,323"
131,"3,4,170"
132,"3,128,4"
133,"128,3,4"
134,"3,4,128"
135,"3,4,128"
136,"346,313"
137,"346,3,313"
138,"340,0,346"
139,"3,4,128"
140,"3,128,4"
141,"3,4,128"
142,"3,4,128"
143,"3,4,128"
144,"3,4,128"
145,"3,4,128"
146,"3,4,182"
147,"3,128,4"
148,"524,3,25"
149,"3,128,4"
150,"3,4,128"
151,"3,4,128"
152,"3,4,128"
153,"269,409,355"
154,"3,4,128"
155,"3,128,4"
156,"241,3,368"
157,"3,4,128"
158,"3,100,4"
159,"199,179,223"
160,"3,4,128"
161,"128,3,4"
162,"128,3,4"
163,"3,128,296"
164,"340,128,3"
165,"128,0,313"
166,"3,4,128"
167,"3,4,128"
168,"3,45,69"
169,"3,4,128"
170,"3,4,128"
171,"3,4,128"
172,"3,128,4"
173,"3,4,128"
174,"3,4,128"
175,"128,3,0"
176,"524,59,64"
177,"3,128,4"
178,"3,4,128"
179,"23,3"
180,"3,100,4"
181,"3,4,128"
182,340
183,"100,200,301"
184,"179,0,128"
185,"3,4,128"
186,0
187,"3,4,128"
188,"3,64,323"
189,"179,3,4"
190,"3,4,128"
191,"3,4,128"
192,"3,4,128"
193,"3,4,128"
194,"3,4,128"
195,"3,374"
196,"3,128,4"
197,"3,4,128"
198,"40,368,296"
199,"128,3,4"
200,"3,4,128"
201,"3,4,128"
202,"3,128,4"
203,"128,3,4"
204,"3,4,128"
205,"3,4,199"
206,"3,4,128"
207,"3,4,128"
208,"3,128,4"
209,"64,524,3"
210,"3,128,4"
211,"235,8,128"
212,"0,409,128"
213,"3,128,4"
214,"3,346,340"
215,"3,4,128"
216,"3,128,4"
217,"3,4,128"
218,"100,3,200"
219,"3,128,4"
220,"3,128,4"
221,"0,128"
222,"3,4,128"
223,"3,4,128"
224,"3,128,4"
225,"3,128,4"
226,"128,3,4"
227,"3,4,128"
228,"3,4,128"
229,"3,128,4"
230,"67,3"
231,"128,3,0"
232,128
233,"100,200"
234,"83,135"
235,"368,3,40"
236,"3,4,128"
237,"199,405,64"
238,"220,3,128"
239,"3,4,128"
240,"128,346,3"
241,"3,128,409"
242,"3,4,128"
243,"368,40,128"
244,"216,313,0"
245,"3,128,4"
246,"419,3,45"
247,"3,4,128"
248,"18,200,100"
249,"405,128"
250,"3,4,128"
251,"220,359"
252,"128,3,4"
253,"3,200,100"
254,"3,4,128"
255,"3,128,129"
256,"3,128,4"
257,"3,128,4"
258,"128,3,405"
259,"3,128,4"
260,"3,128,4"
261,"3,128,4"
262,"128,3,4"
263,"3,100,128"
264,"3,4,128"
265,"3,4,128"
266,"3,4,128"
267,"3,128,4"
268,"3,4,128"
269,"3,128,4"
270,"3,4,301"
271,"40,368,296"
272,"3,4,128"
273,"3,128,4"
274,"3,67,45"
275,"524,64,323"
276,"3,128,4"
277,"100,3,194"
278,"3,4,128"
279,"3,4,128"
280,"3,4,128"
281,"220,25,221"
282,"269,346,409"
283,"100,194,200"
284,"3,4,128"
285,"3,4,128"
286,"64,524,3"
287,"3,128,4"
288,"3,4,128"
289,"3,128,4"
290,346
291,"3,4,128"
292,"67,128,3"
293,"3,25,49"
294,"3,128,4"
295,"128,3,4"
296,"3,4,128"
297,"3,4,128"
298,"3,4,128"
299,"3,128,100"
300,"3,128,4"
301,"3,4,128"
302,"3,4,128"
303,"3,4,128"
304,"3,128,4"
305,271
306,"3,128,4"
307,"346,23,26"
308,"3,25,220"
309,"128,3,4"
310,"128,3,4"
311,"100,3,128"
312,"100,3,4"
313,"3,4,128"
314,"3,128,18"
315,"346,409,179"
316,"3,128,4"
317,"3,301,200"
318,"3,4"
319,"170,3"
320,"0,128,3"
321,"3,128,100"
322,"3,128,4"
323,"3,128,4"
324,"3,340"
325,"3,405"
326,3
327,"3,4,128"
328,"3,4,128"
329,179
330,"3,4,128"
331,"128,3,4"
332,"458,216"
333,"3,128,4"
334,0
335,"3,128,4"
336,"3,128,4"
337,"100,200"
338,"100,200,3"
339,"3,4,128"
340,"3,4,128"
341,"3,128,4"
342,"128,3,129"
343,"3,4,128"
344,"3,128,4"
345,"3,4,128"
346,"405,296,128"
347,"3,4,128"
348,"3,4,128"
349,"3,4,128"
350,"3,4,128"
351,"3,4,128"
352,"128,3,4"
353,"128,3,4"
354,"3,128,4"
355,"3,128,4"
356,"3,128,4"
357,"3,4,128"
358,"409,340,0"
359,"524,25,64"
360,"3,128,4"
361,"3,67"
362,"108,301,100"
363,"241,3,4"
364,"3,4,128"
365,"3,4,0"
366,"128,3,4"
367,"128,3,4"
368,"3,4,128"
369,"3,4,128"
370,"3,4,301"
371,"3,4,128"
372,"3,4,128"
373,"368,40"
374,"206,8,249"
375,"67,45,3"
