id,labels
0,"64,10"
1,"3,17,168"
2,"3,467"
3,"0,216,257"
4,"220,10,145"
5,"206,8,0"
6,"145,44,40"
7,"3,21,126"
8,"23,49,24"
9,"3,21,28"
10,"24,23,59"
11,"10,54,145"
12,"169,296,274"
13,"0,456,271"
14,23
15,"23,38"
16,"10,64"
17,3
18,"64,10,93"
19,"220,10,242"
20,"10,60,93"
21,"23,26,89"
22,"3,5,57"
23,"40,41"
24,"326,0,249"
25,"40,131,159"
26,"3,21"
27,"64,10,93"
28,"3,17,168"
29,"3,13,14"
30,"43,24,23"
31,"3,147,148"
32,"40,131,406"
33,"23,26,89"
34,"220,10,242"
35,"3,48,21"
36,3
37,"10,11,109"
38,"4,3,238"
39,"139,40,155"
40,"23,26,89"
41,"3,21,22"
42,"138,135,40"
43,"0,291,271"
44,"11,10,12"
45,"40,162,163"
46,"3,17,168"
47,"10,234,60"
48,"40,128,186"
49,"10,322,54"
50,23
51,3
52,"10,220"
53,"3,53"
54,"3,111"
55,"21,3,127"
56,"10,64,65"
57,"23,74"
58,"23,118,74"
59,"3,28,190"
60,"11,10"
61,"64,10,448"
62,"0,271"
63,"3,53,99"
64,"208,0"
65,"3,13"
66,"40,131,226"
67,"170,169,459"
68,"3,17,168"
69,"53,3,287"
70,"64,10,65"
71,"64,10,448"
72,"40,41,224"
73,"3,126,21"
74,"220,10,242"
75,"0,265,340"
76,"3,34"
77,"0,350,313"
78,"23,24,49"
79,"220,10,242"
80,"64,10,93"
81,"3,17,320"
82,"11,10,12"
83,"296,169,306"
84,"10,60,49"
85,"23,38,63"
86,"40,131,406"
87,"40,41,42"
88,"26,23,89"
89,"3,111,523"
90,10
91,"220,10,221"
92,"0,257,216"
93,"4,3,238"
94,"23,31,258"
95,"40,145"
96,"23,24,10"
97,"40,131,142"
98,"145,40,44"
99,"23,26,350"
100,"231,26,23"
101,"23,106,105"
102,"23,49,24"
103,"3,85"
104,"23,26,231"
105,"8,0,308"
106,"10,60,239"
107,"23,24,49"
108,"0,216"
109,"206,8,0"
110,"3,5,228"
111,"199,169,281"
112,"3,4,238"
113,"3,34,15"
114,"220,10,242"
115,"169,281,199"
116,"0,108,21"
117,8
118,"145,146,40"
119,"3,21,187"
120,"147,3,148"
121,"0,265"
122,"11,10,109"
123,"40,41"
124,"3,53,287"
125,"3,21,187"
126,"229,0,421"
127,"23,24"
128,"0,271"
129,"0,218,465"
130,"10,64,322"
131,"169,170,260"
132,"23,38,118"
133,"21,3"
134,"3,28,30"
135,"44,40,145"
136,"0,271,456"
137,"40,145,402"
138,"0,265,340"
139,"131,134,40"
140,"40,395"
141,"3,111,112"
142,"169,199,343"
143,"3,85"
144,"61,72,10"
145,"11,10,109"
146,"4,3,19"
147,"8,0,405"
148,"64,10,448"
149,"160,40"
150,"135,40,295"
151,23
152,"4,19,238"
153,"0,265,266"
154,"199,169"
155,"26,23,231"
156,"40,131,406"
157,"44,40,145"
158,"40,128"
159,0
160,"23,8,38"
161,"23,74,31"
162,"40,241,131"
163,"3,111,267"
164,"0,291,271"
165,"128,195,288"
166,"10,64,90"
167,"10,64,93"
168,"11,10,109"
169,"40,324,41"
170,"185,184"
171,3
172,"23,89,38"
173,"4,3,19"
174,"199,169,248"
175,89
176,"10,64,448"
177,"23,38,82"
178,3
179,"23,26,89"
180,"3,21,127"
181,"105,318"
182,"0,265,340"
183,"3,85"
184,"40,0,128"
185,"23,24,49"
186,"0,272,361"
187,"135,40,236"
188,"64,10,80"
189,"169,199"
190,"169,10,199"
191,"169,199,259"
192,231
193,"162,163,40"
194,0
195,"169,199,426"
196,"54,40,145"
197,"3,127,21"
198,"40,131"
199,"0,271,456"
200,"23,24,43"
201,"23,24,43"
202,"3,53,287"
203,"4,3,19"
204,"169,323,199"
205,"169,260,170"
206,"43,23,24"
207,"23,38,91"
208,"10,64,24"
209,"64,10,448"
210,"3,53"
211,"8,0,235"
212,"0,265"
213,"3,68,111"
214,"0,265,340"
215,"43,23,24"
216,"23,74,118"
217,"23,74,303"
218,"3,21"
219,"160,40"
220,"38,23,39"
221,"0,271"
222,"4,3,238"
223,"169,199,281"
224,"40,160,315"
225,"3,13,204"
226,"10,64,11"
227,"10,64,93"
228,"5,3,6"
229,"3,17,168"
230,"54,40,145"
231,"3,53"
232,"23,26,89"
233,"3,0,379"
234,"40,145,146"
235,"40,131,134"
236,"3,53"
237,"169,199,323"
238,"402,40,145"
239,"43,23,24"
240,"313,346,0"
241,"0,271,456"
242,"40,152,151"
243,"40,131,226"
244,"0,271"
245,3
246,"10,234,60"
247,"199,169"
248,"3,17,168"
249,"128,129,40"
250,"23,10,11"
251,"220,10,242"
252,"3,147,148"
253,"3,379"
254,"23,105"
255,"23,26,89"
256,"3,127,21"
257,"3,13,204"
258,"40,129,128"
259,"23,24,45"
260,"64,10,93"
261,"4,3,19"
262,"64,10,93"
263,"3,147,148"
264,"3,21,127"
265,"3,21"
266,"23,309,38"
267,"23,74"
268,"10,64,93"
269,"40,160,334"
270,"3,21,127"
271,"40,131,406"
272,"23,10,54"
273,"23,24,62"
274,"10,54,11"
275,"64,10,448"
276,"23,32,31"
277,"3,21,28"
278,"23,118,74"
279,"40,131,406"
280,"23,63,74"
281,"10,220,221"
282,"265,0,266"
