id,labels
0,"64,10,93"
1,"168,3,17"
2,"53,467,3"
3,"0,216,257"
4,"10,220,242"
5,"206,0,8"
6,"40,44,145"
7,"3,21,126"
8,"49,23,24"
9,"3,21,28"
10,"24,265,0"
11,"54,10,145"
12,"169,296,507"
13,"456,0,271"
14,"23,71,38"
15,"23,38,26"
16,"10,64,80"
17,"3,267,111"
18,"10,64,93"
19,"220,10,242"
20,"10,60,64"
21,"26,89,23"
22,"5,57,3"
23,"40,41,215"
24,"0,326,208"
25,"40,131,406"
26,"3,21,108"
27,"93,64,10"
28,"17,3,168"
29,"14,13,3"
30,"43,24,23"
31,"147,3,148"
32,"131,40,226"
33,"26,23,89"
34,"220,10,242"
35,"3,48,21"
36,"3,5,133"
37,"10,109,11"
38,"4,3,238"
39,"139,155,40"
40,"26,89,23"
41,"3,22,21"
42,"135,138,40"
43,"0,291,271"
44,"11,10,12"
45,"162,163,40"
46,"17,168,3"
47,"10,234,60"
48,"128,186,40"
49,"322,10,54"
50,"23,38,82"
51,"3,147,148"
52,"10,220,221"
53,"53,3,430"
54,"3,111,472"
55,"21,3,102"
56,"10,64,90"
57,"23,74,53"
58,"118,23,74"
59,"28,190,3"
60,"11,205,109"
61,"64,10,448"
62,"0,271,280"
63,"3,99,53"
64,"208,403,0"
65,"3,22,21"
66,"131,40,226"
67,"10,93,169"
68,"17,3,168"
69,"53,287,3"
70,"64,10,65"
71,"10,64,448"
72,"40,41,224"
73,"126,21,3"
74,"220,221,10"
75,"0,265,340"
76,"3,34,187"
77,"0,313,501"
78,"23,49,24"
79,"220,221,10"
80,"64,93,10"
81,"17,168,320"
82,"11,10,12"
83,"306,296,169"
84,"10,49,60"
85,"23,63,74"
86,"40,131,406"
87,"40,41,42"
88,"26,89,23"
89,"3,53,111"
90,"10,54,95"
91,"220,10,221"
92,"0,257,216"
93,"4,238,19"
94,"31,23,328"
95,"40,145,132"
96,"49,23,24"
97,"40,131,241"
98,"402,145,40"
99,"23,26,89"
100,"231,26,23"
101,"106,23,105"
102,"24,49,23"
103,"3,85,86"
104,"23,26,59"
105,"8,0,308"
106,"10,3,60"
107,"49,24,10"
108,"0,304,271"
109,"206,0,8"
110,"3,5,228"
111,"281,199,169"
112,"3,4,238"
113,"3,34,263"
114,"220,10,242"
115,"281,199,169"
116,"0,485,313"
117,"8,10,0"
118,"146,40,322"
119,"3,21,187"
120,"147,148,3"
121,"0,265,340"
122,"11,10,205"
123,"40,41,3"
124,"3,53,287"
125,"3,21,187"
126,"230,229,0"
127,"23,24,25"
128,"0,271,456"
129,"0,218,465"
130,"10,322,64"
131,"170,260,169"
132,"23,38,74"
133,"21,3,102"
134,"28,3,30"
135,"73,44,40"
136,"0,271,456"
137,"402,145,40"
138,"0,265,340"
139,"134,131,40"
140,"395,40,42"
141,"3,111,112"
142,"169,199,343"
143,"3,85,158"
144,"10,72,61"
145,"11,10,109"
146,"4,3,7"
147,"8,405,0"
148,"64,10,448"
149,"160,196,40"
150,"295,189,23"
151,"23,63,74"
152,"4,19,3"
153,"0,265,266"
154,"199,169,382"
155,"26,350,231"
156,"40,131,406"
157,"73,44,145"
158,"40,128,129"
159,"0,216,355"
160,"0,23,8"
161,"23,82,74"
162,"40,241,131"
163,"267,3,111"
164,"0,291,522"
165,"195,128,288"
166,"10,64,90"
167,"10,64,93"
168,"11,109,10"
169,"40,41,324"
170,"185,184,243"
171,"3,85,126"
172,"23,89,26"
173,"4,3,19"
174,"169,199,248"
175,"89,26,40"
176,"64,10,448"
177,"82,38,23"
178,"3,30,21"
179,"26,89,23"
180,"3,21,127"
181,"105,3,50"
182,"340,265,0"
183,"3,85,86"
184,"128,195,40"
185,"49,23,24"
186,"0,361,272"
187,"135,236,40"
188,"64,10,80"
189,"169,199,356"
190,"169,199,323"
191,"169,199,259"
192,"184,40,185"
193,"162,163,23"
194,"0,311,169"
195,"169,199,259"
196,"40,145,55"
197,"3,127,21"
198,"40,131,132"
199,"0,271,456"
200,"24,23,25"
201,"43,24,23"
202,"3,53,287"
203,"3,4,19"
204,"169,199,260"
205,"169,260,199"
206,"43,24,23"
207,"23,91,38"
208,"10,64,24"
209,"10,64,442"
210,"5,53,6"
211,"8,0,235"
212,"0,265,340"
213,"3,68,182"
214,"384,0,297"
215,"43,10,23"
216,"23,32,118"
217,"23,71,303"
218,"3,21,187"
219,"160,40,423"
220,"38,23,39"
221,"0,271,456"
222,"3,4,238"
223,"281,199,169"
224,"302,160,40"
225,"204,3,13"
226,"10,64,448"
227,"10,64,93"
228,"5,57,6"
229,"3,17,18"
230,"54,95,10"
231,"3,85,158"
232,"26,89,23"
233,"0,3,379"
234,"40,146,145"
235,"40,131,134"
236,"53,3,287"
237,"323,199,169"
238,"402,55,10"
239,"43,24,23"
240,"313,0,346"
241,"271,0,456"
242,"151,152,494"
243,"40,131,226"
244,"0,271,352"
245,"0,40,143"
246,"234,10,60"
247,"199,169,281"
248,"3,17,168"
249,"129,128,40"
250,"10,62,23"
251,"220,242,221"
252,"3,148,147"
253,"3,17,21"
254,"105,23,326"
255,"26,23,89"
256,"3,127,21"
257,"204,3,13"
258,"129,40,128"
259,"24,45,25"
260,"64,10,93"
261,"4,3,19"
262,"64,93,10"
263,"147,3,148"
264,"3,21,102"
265,"3,21,379"
266,"23,309,38"
267,"23,74,38"
268,"10,64,93"
269,"40,160,334"
270,"3,21,33"
271,"40,131,226"
272,"23,49,24"
273,"24,23,25"
274,"10,54,95"
275,"64,10,79"
276,"23,32,31"
277,"3,28,21"
278,"118,74,23"
279,"131,40,406"
280,"23,63,38"
281,"221,10,220"
282,"265,0,266"
283,"3,21,127"
284,"3,86,85"
285,"3,4,174"
286,"64,10,448"
287,"0,277,216"
288,"64,10,93"
289,"26,23,231"
290,"0,313,271"
