id,labels
0,10
1,3
2,3
3,0
4,10
5,0
6,"40,145"
7,"3,21"
8,"23,10"
9,"3,21"
10,23
11,"10,40,145"
12,169
13,0
14,23
15,23
16,10
17,3
18,10
19,10
20,10
21,"23,26"
22,3
23,40
24,3
25,40
26,"3,21"
27,10
28,3
29,3
30,"23,10,24"
31,3
32,40
33,"23,26"
34,10
35,"3,21"
36,3
37,"10,11"
38,"3,4"
39,40
40,"23,26"
41,"3,21"
42,40
43,0
44,"10,11"
45,40
46,3
47,10
48,40
49,10
50,23
51,3
52,10
53,3
54,3
55,"3,21"
56,10
57,3
58,"23,26"
59,3
60,"10,11"
61,10
62,0
63,3
64,0
65,3
66,40
67,169
68,3
69,"3,53"
70,10
71,10
72,40
73,"3,21"
74,10
75,0
76,3
77,"26,0,23"
78,23
79,10
80,10
81,3
82,"10,11"
83,169
84,"23,10,24"
85,23
86,40
87,40
88,"26,23"
89,3
90,10
91,10
92,0
93,"3,4"
94,23
95,"40,145"
96,"23,10,24"
97,40
98,"40,145"
99,"23,26"
100,"26,23"
101,23
102,23
103,3
104,23
105,0
106,10
107,"10,23,24"
108,0
109,0
110,3
111,169
112,"3,4"
113,3
114,10
115,"169,199"
116,3
117,10
118,"40,10"
119,"3,21"
120,3
121,0
122,"10,11"
123,"40,3"
124,3
125,"3,21"
126,0
127,23
128,0
129,0
130,10
131,169
132,23
133,"3,21"
134,3
135,"40,145"
136,0
137,"40,145,10"
138,0
139,40
140,40
141,3
142,"169,199"
143,3
144,"40,145"
145,"10,11"
146,"3,4"
147,0
148,10
149,40
150,40
151,23
152,"3,4"
153,0
154,"169,199"
155,"26,23"
156,40
157,"40,145"
158,40
159,0
160,23
161,23
162,40
163,3
164,0
165,40
166,10
167,10
168,"10,11,40"
169,40
170,40
171,3
172,"23,26"
173,"3,4"
174,169
175,"23,26"
176,10
177,23
178,3
179,"26,23"
180,"3,21"
181,23
182,0
183,3
184,40
185,"23,24"
186,0
187,40
188,10
189,169
190,169
191,"169,199"
192,26
193,"23,40"
194,0
195,"169,199"
196,"40,10,145"
197,3
198,40
199,0
200,"23,24"
201,"23,24"
202,3
203,"3,4"
204,"169,199"
205,"169,199"
206,"23,24,10"
207,23
208,10
209,10
210,3
211,0
212,0
213,3
214,0
215,"10,23,24"
216,23
217,23
218,"3,21"
219,40
220,23
221,0
222,"3,4"
223,"169,199"
224,40
225,3
226,10
227,10
228,3
229,3
230,"10,40,145"
231,3
232,"23,26"
233,3
234,"40,145"
235,40
236,3
237,169
238,"40,10,145"
239,"23,10,24"
240,0
241,0
242,40
243,40
244,0
245,3
246,10
247,"169,199"
248,3
249,40
250,"10,23"
251,10
252,3
253,3
254,23
255,"23,26"
256,"3,21"
257,3
258,40
259,"40,10,145"
260,10
261,"3,4"
262,10
263,3
264,"3,21"
265,"3,21"
266,23
267,23
268,10
269,40
270,"3,21"
271,40
272,"23,10,24"
273,"23,24"
274,10
275,10
276,23
277,"3,21"
278,23
279,40
280,23
281,10
282,0
283,"3,21"
284,3
285,"3,4"
286,10
287,0
288,10
289,"26,23"
290,0
291,"23,10,24"
292,10
293,23
294,"3,21"
295,40
296,40
297,40
298,169
299,3
300,3
301,"3,21"
302,23
303,3
304,169
305,0
306,40
307,"26,23"
308,10
309,40
310,0
311,3
312,"3,21"
313,23
314,3
315,0
316,23
317,3
318,23
319,169
320,0
321,40
322,"10,23"
323,3
324,40
325,40
326,3
327,"169,40,199"
328,"23,24,10"
329,0
330,"23,24,10"
331,40
332,0
333,3
334,0
335,"3,21"
336,"23,10,24"
337,3
338,"3,21"
339,3
340,10
341,3
342,40
343,3
344,40
345,"40,145"
346,169
347,10
348,3
349,169
350,"10,11"
351,23
352,169
353,"23,26"
354,3
355,40
356,"23,26"
357,23
358,0
359,10
360,23
361,"40,145"
362,"3,21"
363,169
364,169
365,0
366,0
367,0
368,23
369,"40,169,199"
370,"3,4"
371,"23,24,10"
372,23
373,40
374,0
375,"40,10,145"
376,"169,199"
377,3
378,40
379,23
380,3
381,3
382,169
383,"169,199"
384,3
385,10
386,10
387,23
388,0
389,3
390,10
391,"23,40"
392,0
393,10
394,10
395,3
396,"23,40,38"
397,"3,21"
398,169
399,169
400,"40,145"
401,169
402,3
403,0
404,3
405,0
406,"3,21"
407,40
408,3
409,"3,21"
410,"3,21"
411,3
412,"23,10,24"
413,"169,199"
414,0
415,40
416,"23,26"
417,10
418,"40,23"
419,23
420,169
421,10
422,0
423,23
424,"26,23"
425,0
426,169
427,"23,24,10"
428,40
429,169
430,40
431,"26,23"
432,"10,11"
433,10
434,10
435,"3,40"
436,0
437,10
438,40
439,169
440,3
441,10
442,3
443,169
444,0
445,"3,4"
446,0
447,0
448,10
449,40
450,0
451,0
452,169
453,40
454,23
455,169
456,"40,131"
457,10
458,3
459,"3,40"
460,0
461,169
462,23
463,40
464,0
465,0
466,"26,23"
467,"40,145,10"
468,"10,11"
469,3
470,40
471,0
472,10
473,0
474,"26,23"
475,0
476,23
