id,labels
0,"502,493,179"
1,"269,355,455"
2,"409,235,357"
3,"128,3,4"
4,"409,449,376"
5,"128,3,4"
6,"301,128,3"
7,"128,3,4"
8,"128,3,296"
9,"382,3,4"
10,"409,172,0"
11,"346,235,8"
12,"128,3,4"
13,"128,3,4"
14,"419,100,200"
15,"206,8,0"
16,"12,182,340"
17,"524,64,59"
18,"128,3,4"
19,"291,513,444"
20,"128,3,4"
21,"128,3,4"
22,"315,160,3"
23,"4,314,313"
24,"128,3,4"
25,"67,187,405"
26,"100,301,200"
27,"182,340,128"
28,"241,69,131"
29,"128,3,4"
30,"128,3,4"
31,"170,3,4"
32,"468,182,3"
33,"128,3,4"
34,"388,3,4"
35,"494,339,224"
36,"128,3,4"
37,"128,3,4"
38,"459,128,3"
39,"199,3,4"
40,"278,483,0"
41,"494,67,215"
42,"128,3,4"
43,"206,8,0"
44,"114,100,503"
45,"64,524,323"
46,"128,3,4"
47,"40,368,313"
48,"448,80,64"
49,"128,3,4"
50,"346,67,313"
51,"388,173,340"
52,"128,3,4"
53,"297,128,0"
54,"241,187,128"
55,"67,3,4"
56,"128,3,4"
57,"220,242,24"
58,"128,3,4"
59,"269,355,360"
60,"92,357,0"
61,"170,270,0"
62,"84,516,420"
63,"80,64,3"
64,"128,3,4"
65,"488,179,128"
66,"128,3,4"
67,"340,359,498"
68,"206,8,0"
69,"269,355,0"
70,"350,67,405"
71,"128,3,4"
72,"409,0,3"
73,"128,3,4"
74,"340,455,0"
75,"242,220,3"
76,"452,135,107"
77,"340,128,0"
78,"467,267,301"
79,"301,100,200"
80,"220,221,3"
81,"487,41,241"
82,"418,340,0"
83,"83,278,135"
84,"56,3,296"
85,"128,3,4"
86,"187,328,263"
87,"301,128,3"
88,"49,3,178"
89,"199,405,498"
90,"128,3,4"
91,"170,3,4"
92,"170,405,0"
93,"241,187,128"
94,"172,241,187"
95,"179,498,128"
96,"128,3,4"
97,"452,247,67"
98,"67,16,204"
99,"340,128,0"
100,"128,3,4"
101,"346,456,355"
102,"206,8,0"
103,"128,3,4"
104,"406,334,160"
105,"366,399,397"
106,"328,366,128"
107,"128,3,4"
108,"128,3,4"
109,"12,23,251"
110,"179,0,409"
111,"29,1,0"
112,"64,524,323"
113,"128,3,4"
114,"29,3,296"
115,"25,67,128"
116,"352,179,0"
117,"160,3,4"
118,"128,3,4"
119,"128,3,4"
120,"498,128,288"
121,"340,241,187"
122,"182,340,455"
123,"12,374,3"
124,"247,152,459"
125,"406,334,160"
126,"270,498,0"
127,"48,3,177"
128,"67,220,128"
129,"99,83,405"
130,"206,8,220"
131,"89,29,3"
132,"128,3,4"
133,"128,3,4"
134,"128,3,4"
135,"29,364,128"
136,"25,3,4"
137,"419,187,301"
138,"83,196,160"
139,"280,387,271"
140,"64,323,524"
141,"313,0,3"
142,"128,3,4"
143,"93,493,220"
144,"128,3,4"
145,"340,128,0"
146,"16,401,204"
147,"114,182,3"
148,"67,405,241"
149,"281,199,241"
150,"12,3,10"
151,"172,455,0"
152,"168,3,296"
153,"242,220,449"
154,"73,339,224"
155,"128,73,455"
156,"128,3,4"
157,"25,3,4"
158,"524,64,448"
159,"513,2,438"
160,"99,128,3"
161,"430,100,200"
162,"313,24,454"
163,"170,405,179"
164,"128,3,4"
165,"5,3,200"
166,"206,8,482"
167,"337,247,482"
168,"401,128,3"
169,"128,3,4"
170,"406,179,334"
171,"179,128,3"
172,"128,3,4"
173,"128,3,4"
174,"452,425,376"
175,"317,67,241"
176,"128,3,4"
177,"128,3,4"
178,"199,182,455"
179,"128,3,4"
180,"128,3,4"
181,"128,3,4"
182,"196,182,455"
183,"330,1,0"
184,"409,425,313"
185,"173,56,3"
186,"4,518,425"
187,"29,3,296"
188,"128,3,4"
189,"128,3,4"
190,"128,3,4"
191,"128,3,4"
192,"128,3,4"
193,"64,83,524"
194,"128,3,4"
195,"172,270,405"
196,"124,108,455"
197,"419,4,3"
198,"370,67,44"
199,"40,368,296"
200,"141,300,3"
201,"405,128,0"
202,"366,370,235"
203,"206,8,444"
204,"4,25,182"
205,"374,160,3"
206,"128,3,4"
207,"135,3,4"
208,"128,3,4"
209,"128,3,4"
210,"103,129,128"
211,"487,67,41"
212,"223,199,366"
213,"100,200,194"
214,"400,480,213"
215,"241,187,128"
216,"494,406,401"
217,"255,182,0"
218,"498,108,436"
219,"25,220,3"
220,"128,3,4"
221,"179,0,340"
222,"366,397,313"
223,"242,45,3"
224,"135,3,4"
225,"220,25,221"
226,"128,3,4"
227,"128,3,4"
228,"128,3,4"
229,"182,3,4"
230,"482,214,241"
231,"40,368,340"
232,"430,340,0"
233,"315,160,3"
234,"130,468,128"
235,"78,313,0"
236,"40,368,455"
237,"33,100,29"
238,"323,3,4"
239,"73,3,4"
240,"270,108,340"
241,"44,3,40"
242,"296,405,0"
243,"128,3,4"
244,"220,24,454"
245,"128,3,4"
246,"128,3,4"
247,"128,3,4"
248,"18,3,200"
249,"124,108,340"
250,"366,271,482"
251,"374,182,128"
252,"4,182,3"
253,"128,3,4"
254,"313,0,3"
255,"64,524,376"
256,"405,128,0"
257,"38,249,484"
258,"361,372,271"
259,"128,3,4"
260,"4,518,108"
261,"93,273,493"
262,"223,313,29"
263,"128,3,296"
264,"315,160,3"
265,"187,263,69"
266,"455,0,128"
267,"405,340,270"
268,"35,3,4"
269,"25,220,24"
270,"1,128,0"
271,"128,3,4"
272,"220,3,4"
273,"73,67,301"
274,"515,247,498"
275,"168,73,3"
276,"128,3,4"
277,"205,73,296"
278,"135,3,4"
279,"296,468,40"
280,"364,128,3"
281,"25,220,221"
282,"170,199,355"
283,"100,200,194"
284,"128,3,4"
285,"67,128,199"
286,"456,355,128"
287,"128,182,3"
288,"40,368,296"
289,"345,182,241"
290,"135,73,3"
291,"199,310,269"
292,"405,455,0"
293,"315,160,3"
294,"128,3,4"
295,"83,135,340"
296,"235,269,8"
297,"25,498,288"
298,"128,3,4"
299,"223,346,313"
300,"359,340,0"
301,"108,301,3"
302,"300,128,3"
303,"64,524,313"
304,"128,3,4"
305,"199,223,169"
306,"340,128,0"
307,"207,301,459"
308,"247,179,160"
309,"482,456,405"
310,"340,269,355"
311,"18,3,263"
312,"301,128,3"
313,"16,144,3"
314,"100,108,200"
315,"4,194,182"
316,"4,182,340"
317,"128,3,4"
318,"128,3,4"
319,"173,215,301"
320,"128,3,4"
321,"255,0,3"
322,"83,3,10"
323,"108,301,340"
324,"128,3,4"
325,"401,128,3"
326,"128,3,4"
327,"438,387,465"
